"","Year","Plot","Species","Num.Trees","BA","QMD"
"93","1997","5","Sx",1,0.0274645883758454,18.7047418545449
"94","1997","6","Bl",51,1.29627453594626,17.9940357293733
"95","1997","6","Sx",4,0.38415159348647,34.9773171942872
"96","1997","7","Bl",16,0.237087358186624,13.7391346238502
"97","1997","7","Sx",3,0.0525046526212828,14.9315000137084
"98","1997","8","Bl",25,0.393204092717789,14.154814493994
"99","1997","8","Sx",6,0.287376402588963,24.70103200561
"100","1997","9","Bl",31,0.658740143178995,16.4528595226406
"101","1997","9","Sx",15,0.743183012114835,25.1227646002405
"102","2009","10","Bl",42,0.925445651505501,16.753902587079
"103","2009","10","Sx",9,0.605578112294949,29.2771637539122
"104","2009","11","Bl",47,0.805066889603411,14.771759404078
"105","2009","11","Sx",7,0.433041058361634,28.0724740711632
