"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"69","10","395","Bl","1","2009","Live",25,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"70","10","395","Bl","1","2019","Live",27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"71","10","40","Bl","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","10","40","Bl","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","10","40","Bl","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","10","40","Bl","2","2009","Live",8.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","10","40","Bl","2","2019","Live",9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","10","406","Bl","1","1992","Live",10.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9
"77","10","406","Bl","1","1994","Live",11.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9
"78","10","406","Bl","1","1997","Live",12.1,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9
"79","10","406","Bl","1","2009","Live",15,NA,"LIve",NA,NA,NA,NA,NA,NA,NA,NA,3,9
"80","10","406","Bl","1","2019","Live",17.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9
"81","10","407","Bl","1","1992","Live",16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"82","10","407","Bl","1","1994","Live",17,NA,"Cankers",NA,NA,NA,NA,NA,NA,NA,NA,3,8
"83","10","407","Bl","1","1997","Live",17.7,NA,"Canker at base",NA,NA,NA,NA,NA,NA,NA,NA,3,8
"84","10","407","Bl","1","2009","Live",20.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,8
"85","10","407","Bl","1","2019","Live",21.7,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"86","10","408","Sx","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"87","10","408","Sx","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"88","10","408","Sx","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"89","10","408","Sx","2","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8
"90","10","408","Sx","2","2019","Live",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"91","10","409","Sx","2","1992","Live",42.6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"92","10","409","Sx","2","1994","Live",43.7,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"93","10","409","Sx","2","1997","Live",45.8,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"94","10","409","Sx","2","2009","Live",50.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,7
"95","10","409","Sx","2","2019","Dead",48.4,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"96","10","410","Bl","2","1992","Live",14.7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9
"97","10","410","Bl","2","1994","Live",16.4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9
"98","10","410","Bl","2","1997","Live",16.6,NA,"Dbh at 1.1m",NA,NA,NA,NA,1,NA,NA,NA,3,9
"99","10","410","Bl","2","2009","Live",19.1,NA,"Live",NA,NA,NA,NA,1,NA,NA,NA,3,9
"100","10","410","Bl","2","2019","Live",21.1,15.5,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9
"101","10","411","Bl","3","1992","Live",NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"102","10","411","Bl","3","1994","Live",7.9,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"103","10","411","Bl","3","1997","Live",9,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"104","10","411","Bl","3","2009","Live",13.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8
"105","10","411","Bl","3","2019","Live",17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"106","10","412","Bl","4","1992","Live",8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"107","10","412","Bl","4","1994","Live",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"108","10","412","Bl","4","1997","Live",10.9,NA,"DBh at 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,4,8
"109","10","412","Bl","4","2009","Live",13.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8
"110","10","412","Bl","4","2019","Live",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"111","10","413","Bl","4","1992","Live",17.9,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"112","10","413","Bl","4","1994","Live",18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"113","10","413","Bl","4","1997","Live",20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"114","10","413","Bl","4","2009","Live",24.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"115","10","413","Bl","4","2019","Live",28.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"116","10","42","Bl","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","10","42","Bl","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","10","42","Bl","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","10","42","Bl","2","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","10","42","Bl","2","2019","Dead",8.3,NA,"dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","10","43","Sx","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","10","43","Sx","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","10","43","Sx","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","10","43","Sx","2","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","10","43","Sx","2","2019","Live",10,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","10","46","Sx","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","10","46","Sx","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","10","46","Sx","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","10","46","Sx","2","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","10","46","Sx","2","2019","Live",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","10","48","Bl","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","10","48","Bl","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","10","48","Bl","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","10","48","Bl","2","2009","Live",8.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","10","48","Bl","2","2019","Live",11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","10","49","Sx","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","10","49","Sx","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","10","49","Sx","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","10","49","Sx","2","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","10","49","Sx","2","2019","Live",7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","10","50","Bl","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","10","50","Bl","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","10","50","Bl","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","10","50","Bl","2","2009","Live",8.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","10","50","Bl","2","2019","Live",12,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","10","51","Sx","2","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","10","51","Sx","2","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","10","51","Sx","2","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","10","51","Sx","2","2009","Live",7.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","10","51","Sx","2","2019","Live",11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","10","52","Bl","3","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","10","52","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","10","52","Bl","3","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","10","52","Bl","3","2009","Live",NA,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","10","52","Bl","3","2019","Live",7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","10","54","Bl","3","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"157","10","54","Bl","3","1994","Live",NA,NA,"Missed tree - Marked with orange ribbon",NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"158","10","54","Bl","3","1997","Live",NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"159","10","54","Bl","3","2009","Live",NA,NA,"Missing",NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"160","10","54","Bl","3","2019","Live",9.8,8.1,"found; painted 628 on tree (not actually #628)",NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"161","10","602","Bl","3","1992","Live",NA,NA,"Natural; Snowpress",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"162","10","602","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"163","10","602","Bl","3","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"164","10","602","Bl","3","2009","Live",7.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"165","10","602","Bl","3","2019","Live",11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"166","10","605","Bl","3","1992","Live",12.9,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5
"167","10","605","Bl","3","1994","Live",12.9,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5
"168","10","605","Bl","3","1997","Live",13.2,NA,"broken top, no limbs on north side",NA,NA,1,NA,NA,NA,NA,3,3,5
"169","10","605","Bl","3","2009","Live",13.3,NA,"Live with snapped top",NA,NA,1,NA,NA,NA,NA,3,3,5
"170","10","605","Bl","3","2019","Live",13.3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5
